[0.001, 0.001, 0.001, 0.001]:4.5981
[0.001, 0.001, 0.001, 0.100]:4.579493019110804
[0.001, 0.001, 0.001, 0.200]:4.561064810275517
[0.001, 0.001, 0.001, 0.300]:4.542994465482086
[0.001, 0.001, 0.001, 0.400]:4.52527166073661
[0.001, 0.001, 0.001, 0.500]:4.507886465377656
[0.001, 0.001, 0.001, 0.600]:4.490829323521087
[0.001, 0.001, 0.001, 0.700]:4.474091036545469
[0.001, 0.001, 0.001, 0.800]:4.457662746550606
[0.001, 0.001, 0.001, 0.900]:4.441535920726672
[0.001, 0.001, 0.001, 0.999]:4.4258592471358424
[0.001, 0.001, 0.100, 0.001]:4.4428151684877415
[0.001, 0.001, 0.100, 0.100]:4.4271155595996365
[0.001, 0.001, 0.100, 0.200]:4.411541929666366
[0.001, 0.001, 0.100, 0.300]:4.396246648793564
[0.001, 0.001, 0.100, 0.400]:4.381222320637733
[0.001, 0.001, 0.100, 0.500]:4.366461808604039
[0.001, 0.001, 0.100, 0.600]:4.351958224543082
[0.001, 0.001, 0.100, 0.700]:4.337704918032786
[0.001, 0.001, 0.100, 0.800]:4.323695466210435
[0.001, 0.001, 0.100, 0.900]:4.309923664122137
[0.001, 0.001, 0.100, 0.999]:4.296517789553369
[0.001, 0.001, 0.200, 0.001]:4.309787125773895
[0.001, 0.001, 0.200, 0.100]:4.2963835155592935
[0.001, 0.001, 0.200, 0.200]:4.283069224353628
[0.001, 0.001, 0.200, 0.300]:4.269975186104218
[0.001, 0.001, 0.200, 0.400]:4.257095980311732
[0.001, 0.001, 0.200, 0.500]:4.244426362896664
[0.001, 0.001, 0.200, 0.600]:4.231961259079904
[0.001, 0.001, 0.200, 0.700]:4.219695756605284
[0.001, 0.001, 0.200, 0.800]:4.207625099285147
[0.001, 0.001, 0.200, 0.900]:4.195744680851064
[0.001, 0.001, 0.200, 0.999]:4.184166080225194
[0.001, 0.001, 0.300, 0.001]:4.195626822157435
[0.001, 0.001, 0.300, 0.100]:4.184050039093043
[0.001, 0.001, 0.300, 0.200]:4.17253685027153
[0.001, 0.001, 0.300, 0.300]:4.161200923787529
[0.001, 0.001, 0.300, 0.400]:4.150038197097021
[0.001, 0.001, 0.300, 0.500]:4.1390447308567095
[0.001, 0.001, 0.300, 0.600]:4.12821670428894
[0.001, 0.001, 0.300, 0.700]:4.117550410754294
[0.001, 0.001, 0.300, 0.800]:4.1070422535211275
[0.001, 0.001, 0.300, 0.900]:4.096688741721856
[0.001, 0.001, 0.300, 0.999]:4.086587771203156
[0.001, 0.001, 0.400, 0.001]:4.096585976013539
[0.001, 0.001, 0.400, 0.100]:4.086486486486487
[0.001, 0.001, 0.400, 0.200]:4.0764321972443796
[0.001, 0.001, 0.400, 0.300]:4.066522678185746
[0.001, 0.001, 0.400, 0.400]:4.05675482487491
[0.001, 0.001, 0.400, 0.500]:4.047125621007807
[0.001, 0.001, 0.400, 0.600]:4.037632135306554
[0.001, 0.001, 0.400, 0.700]:4.028271518544435
[0.001, 0.001, 0.400, 0.800]:4.019041000694927
[0.001, 0.001, 0.400, 0.900]:4.009937888198758
[0.001, 0.001, 0.400, 0.999]:4.00104873534855
[0.001, 0.001, 0.500, 0.001]:4.009847491546477
[0.001, 0.001, 0.500, 0.100]:4.000959561343386
[0.001, 0.001, 0.500, 0.200]:3.992103471749489
[0.001, 0.001, 0.500, 0.300]:3.9833671399594315
